"DATE","RealGDP"
"1997-01-01",24446.1365127997
"1997-04-01",24852.4259491826
"1997-07-01",25163.2747679037
"1997-10-01",25379.3627701141
"1998-01-01",25093.9055917138
"1998-04-01",25326.230115665
"1998-07-01",25643.5081490814
"1998-10-01",26057.9561435399
"1999-01-01",26149.7829310752
"1999-04-01",26368.1336263456
"1999-07-01",26716.9911605079
"1999-10-01",27155.8922820713
"2000-01-01",27011.5461421742
"2000-04-01",27503.3137615328
"2000-07-01",27530.7549530809
"2000-10-01",27694.3872314239
"2001-01-01",29033.4980235862
"2001-04-01",29213.909049003
"2001-07-01",29096.9514515754
"2001-10-01",29177.6414758354
"2002-01-01",29570.8049958197
"2002-04-01",29752.814026764
"2002-07-01",29872.8751716091
"2002-10-01",29911.9058058072
"2003-01-01",30128.8125578855
"2003-04-01",30397.9766810316
"2003-07-01",30904.6794203953
"2003-10-01",31261.3335528803
"2004-01-01",31283.3038237752
"2004-04-01",31526.9190354366
"2004-07-01",31823.6652858783
"2004-10-01",32148.91185491
"2005-01-01",33407.1
"2005-04-01",34028.5
"2005-07-01",33065.6
"2005-10-01",33434.8
"2006-01-01",35812.4
"2006-04-01",37271.1
"2006-07-01",38626.6
"2006-10-01",39543.7
"2007-01-01",40073.4
"2007-04-01",40549.5
"2007-07-01",40652.2
"2007-10-01",41253.9
"2008-01-01",41601.8
"2008-04-01",41808.4
"2008-07-01",42409.8
"2008-10-01",45652.8
"2009-01-01",45030.2
"2009-04-01",41896.7
"2009-07-01",40378.4
"2009-10-01",38880.3
"2010-01-01",39445.9
"2010-04-01",40063.2
"2010-07-01",40517.5
"2010-10-01",40200
"2011-01-01",39567.3
"2011-04-01",39644
"2011-07-01",39565.5
"2011-10-01",40295
"2012-01-01",39489.8
"2012-04-01",39508.9
"2012-07-01",38339.9
"2012-10-01",38083.1
"2013-01-01",39059
"2013-04-01",38544
"2013-07-01",38692.7
"2013-10-01",39102.6
"2014-01-01",38787.7
"2014-04-01",39313.5
"2014-07-01",39804
"2014-10-01",40332.5
"2015-01-01",41067.7
"2015-04-01",39970.4
"2015-07-01",40523.4
"2015-10-01",40111.1
"2016-01-01",39924.7
"2016-04-01",38295.4
"2016-07-01",37562
"2016-10-01",36972.8
"2017-01-01",37162.5
"2017-04-01",37796.7
"2017-07-01",37545.3
"2017-10-01",37582.1
"2018-01-01",37913.4
"2018-04-01",38072
"2018-07-01",38114.5
"2018-10-01",38220.6
"2019-01-01",38041.9
"2019-04-01",38095.1
"2019-07-01",38724.8
"2019-10-01",38924.8
"2020-01-01",38411
"2020-04-01",34787.3
"2020-07-01",36185.8
"2020-10-01",35690.3
"2021-01-01",36417.6
"2021-04-01",36362.8
"2021-07-01",36354.5
"2021-10-01",36465.2
"2022-01-01",36341.1
"2022-04-01",35899.8
"2022-07-01",36369.9
"2022-10-01",36773.4
